desenvolvedora_id,nome,pais_origem
1,CD Projekt Red,Polonia
2,Rockstar Games,EUA
3,FromSoftware,Japao
4,ConcernedApe,EUA
5,Naughty Dog,EUA
6,Blizzard Entertainment,EUA
7,Valve,EUA
8,Nintendo EPD,Japao
9,Ubisoft Montreal,Canada
10,Larian Studios,Belgica
11,Mojang Studios,Suecia
12,Bethesda Game Studios,EUA
13,Guerrilla Games,Holanda
14,Capcom,Japao
15,Square Enix,Japao
16,BioWare,Canada
17,Insomniac Games,EUA
18,Sucker Punch Productions,EUA
19,Remedy Entertainment,Finlandia
20,Atlus,Japao
21,Kojima Productions,Japao
22,Arkane Studios,Franca
23,id Software,EUA
24,Respawn Entertainment,EUA
25,Team Cherry,Australia
26,Supergiant Games,EUA
27,Playdead,Dinamarca
28,Coffee Stain Studios,Suecia
29,Obsidian Entertainment,EUA
30,Hello Games,Reino Unido
31,Moon Studios,Austria
32,Studio MDHR,Canada
33,Sega,Japao
34,PlatinumGames,Japao
35,Epic Games,EUA
36,343 Industries,EUA
37,Asobo Studio,Franca
38,4A Games,Malta
39,Crytek,Alemanha
40,Double Fine Productions,EUA
