venda_id,jogo_id,preco_pago
1,192,20.12
1,32,8.74
2,289,19.65
2,319,24.0
3,237,19.38
3,92,42.6
4,99,46.43
4,312,21.2
4,249,10.74
5,215,13.6
5,357,48.97
5,447,36.53
6,66,46.98
7,104,40.09
7,427,20.15
7,340,41.49
8,331,32.45
8,268,61.65
8,428,4.75
8,500,49.83
9,159,16.29
10,194,12.44
11,456,26.87
11,417,18.51
11,87,27.57
11,322,58.7
12,74,28.7
13,177,32.04
13,213,5.43
13,304,9.19
13,412,15.71
14,91,40.3
14,157,23.93
14,251,41.75
15,259,4.88
15,357,53.49
15,217,8.24
16,246,26.55
16,487,61.23
17,398,12.98
17,24,36.91
18,32,10.48
18,197,11.23
19,439,21.51
19,267,38.8
19,374,8.63
20,277,27.94
20,29,16.71
20,139,38.1
21,466,21.79
21,129,9.85
21,457,35.63
21,8,14.59
22,259,7.27
22,112,17.91
23,446,28.22
23,268,38.01
23,310,46.35
24,248,33.77
25,81,5.25
25,126,6.31
25,24,38.49
26,306,28.36
27,484,18.22
27,206,11.34
28,344,16.35
28,330,24.39
28,474,46.3
28,108,37.52
29,7,26.13
30,416,47.78
30,429,48.05
30,230,33.68
31,416,35.93
31,305,34.59
31,438,11.22
32,386,8.76
32,139,44.18
33,306,34.33
33,177,36.25
34,365,26.83
34,217,7.96
34,335,7.77
34,151,49.02
35,226,43.19
35,212,53.54
35,400,58.19
35,272,51.87
36,413,33.74
36,6,22.08
36,157,20.97
37,422,32.92
37,117,54.27
37,30,52.96
38,500,56.09
38,195,40.49
39,140,5.0
39,55,44.73
39,46,44.18
39,266,8.55
40,292,11.97
40,4,32.79
41,18,26.47
41,222,9.43
41,490,39.11
42,377,5.18
43,400,63.43
43,391,33.37
43,211,29.53
44,170,7.2
45,441,25.31
45,229,49.37
45,354,14.32
45,192,35.64
46,30,38.23
46,47,57.15
46,107,14.3
47,359,17.55
47,293,16.32
48,210,19.09
48,350,19.78
48,267,35.26
48,269,41.03
49,271,53.58
49,357,60.54
49,239,39.04
50,447,34.04
50,499,43.47
50,390,13.84
51,76,38.49
51,39,30.48
51,453,43.57
52,186,20.23
52,102,46.53
52,369,13.54
53,330,36.5
53,482,42.59
54,39,24.71
54,346,57.85
55,446,40.72
56,263,6.31
56,459,2.74
56,253,20.75
57,168,45.88
57,234,23.83
57,459,2.9
57,377,8.39
58,221,12.48
58,416,48.85
58,138,22.46
59,194,8.17
59,479,37.15
59,477,63.77
59,494,6.18
60,268,38.34
61,299,43.07
62,182,21.12
62,116,24.79
63,272,45.7
63,23,27.89
64,76,45.78
65,431,11.68
65,425,20.95
65,291,42.32
65,206,15.57
66,161,33.58
66,268,50.44
67,144,23.47
67,481,40.12
67,420,44.24
67,447,40.64
68,390,10.45
69,146,48.38
70,309,33.64
70,144,13.03
70,355,27.18
71,225,50.9
71,385,21.2
72,484,20.66
72,5,33.73
72,23,26.09
72,207,5.35
73,345,39.83
73,130,38.57
74,70,18.94
74,343,15.5
74,394,52.08
75,309,35.64
76,195,46.99
76,440,20.79
77,223,51.68
77,305,29.89
77,218,20.77
78,241,59.88
78,346,48.55
78,460,21.21
79,214,35.18
80,154,11.15
80,131,21.64
80,470,62.75
81,144,21.16
81,392,52.92
81,74,32.24
82,330,31.5
82,472,27.46
83,383,48.23
83,457,27.73
84,24,27.61
84,214,29.52
84,251,49.09
84,160,38.33
85,311,24.4
85,180,12.45
85,115,8.59
85,295,36.81
86,225,65.31
87,234,16.35
88,406,57.4
89,245,13.14
90,69,18.59
90,198,32.21
90,485,13.24
91,443,31.18
91,422,42.99
91,161,50.1
92,25,62.73
92,473,4.17
92,441,43.0
93,469,14.6
93,107,15.42
93,224,20.07
94,329,20.24
95,87,18.04
95,125,31.47
96,456,38.24
97,215,15.08
98,173,27.8
98,23,43.13
98,356,15.75
98,323,23.75
99,172,44.25
