publicadora_id,nome,pais_origem
1,Garcia - EI,Paraguai
2,Oliveira,Antígua e Barbuda
3,Marques,Cazaquistão
4,Campos - ME,Luxemburgo
5,Cirino e Filhos,Montenegro
6,da Mota Ltda.,Ilha Wake
7,da Rosa,Moldávia
8,Gonçalves,Butão
9,Nunes Nunes - EI,Micronésia
10,Moraes,Guam
11,Novaes Gonçalves Ltda.,Zimbábue
12,da Conceição Barros - EI,Paraguai
13,Cunha Carvalho - EI,Domínica
14,Duarte Campos - EI,Japão
15,Camargo,Índia
16,Silveira,Emirados Árabes Unidos
17,Cunha,Usbequistão
18,Viana Mendes Ltda.,Austrália
19,Jesus - EI,Costa do Marfim
20,Rocha Ltda.,Domínica
21,da Mata,Jibuti
22,Garcia,Jibuti
23,Mendonça,Faroé
24,Santos,Costa Rica
25,Machado,Equador
26,Peixoto Jesus - EI,Trindade e Tobago
27,Teixeira,Suíça
28,Nunes,Togo
29,Correia,Líbano
30,Montenegro,Svalbard e Jan Mayen
31,Rocha,Paracel Islands
32,Correia,Armênia
33,Viana,Domínica
34,Freitas e Filhos,Mali
35,Teixeira - EI,Usbequistão
36,da Costa - ME,Fiji
37,Fonseca,Bulgária
38,Fonseca,Uruguai
39,Correia,Quênia
40,Aragão - EI,Itália
41,Ferreira,Moçambique
42,Abreu - EI,Tokelau
43,Lima Casa Grande e Filhos,Argentina
44,Gonçalves,Taiwan
45,Sousa e Filhos,Ashmore and Cartier Islands
46,Garcia,Países Baixos
47,Marques Ltda.,Territórios Austrais Franceses
48,Teixeira Porto Ltda.,Barbados
49,Melo,Libéria
50,Castro,Madagascar
51,Silva Andrade e Filhos,Uganda
52,Ferreira - EI,Botsuana
53,Lopes Melo S.A.,Cuba
54,Nogueira,Santa Lúcia
55,Montenegro,Coreia do Norte
56,Sousa,Maldivas
57,Novais,São Pedro e Miquelon
58,Monteiro,Sudão
59,Araújo,Tunísia
60,Almeida Silveira - ME,Bolívia
61,da Cunha Cardoso Ltda.,Costa do Marfim
62,da Mata,Fiji
63,Macedo,Síria
64,Barros,Estônia
65,Ramos,Quênia
66,Jesus Guerra Ltda.,Cazaquistão
67,da Mata Farias S.A.,Costa do Marfim
68,Pires Brito - ME,Líbano
69,Gonçalves,Antilhas Holandesas
70,Siqueira,Tanzânia
71,Jesus Ltda.,Suazilândia
72,Nascimento,Quiribáti
73,Costa,Tailândia
74,Sá S.A.,Argélia
75,Azevedo Moura - EI,Congo-Kinshasa
76,Rezende Moreira S/A,Fiji
77,Viana Rezende - EI,São Marinho
78,Leão - EI,Guatemala
79,Lopes da Mota - EI,Zâmbia
80,Cassiano Ltda.,Portugal
81,Vasconcelos Leão e Filhos,Ilhas Marshall
82,Peixoto - ME,Suriname
83,Casa Grande Montenegro S/A,Navassa Island
84,Ramos S.A.,São Tomé e Príncipe
85,Nunes,Islândia
86,Sales S/A,Guatemala
87,Farias,Sérvia
88,Rezende Nascimento - EI,Brasil
89,Ferreira,Granada
90,Câmara,Rússia
91,Gomes - EI,Senegal
92,Cardoso Lopes Ltda.,Gana
93,Martins,Barein
94,Sales,Macedônia do Norte
95,Pereira - ME,Eritreia
96,Martins,Tailândia
97,da Cunha - EI,Omã
98,Fogaça Pastor e Filhos,Guiana
99,Monteiro Leão - EI,Nepal
100,Gomes,Jamaica
101,Novaes,Haiti
102,Ribeiro,Iêmen
103,Correia,Jersey
104,Farias Camargo Ltda.,Vietnam
105,Brito S.A.,Laos
106,Costela S/A,Fiji
107,Novaes,Quirguizistão
108,Martins Mendes S.A.,Bahamas
109,Sampaio,Serra Leoa
110,Câmara,Turquemenistão
111,Marques,Ilhas Falkland
112,Camargo,Zâmbia
113,Lima,Afeganistão
114,Cassiano,Bulgária
115,Silva S/A,Peru
116,Ribeiro Novais e Filhos,Porto Rico
117,Brito Moura Ltda.,Guiana
118,Silva S/A,Togo
119,Silva Pacheco - EI,Vietnam
120,Rezende,Nova Zelândia
121,Moreira,Tonga
122,Almeida Martins S.A.,Tonga
123,Pastor - ME,Uruguai
124,Abreu,Reino Unido
125,Melo S/A,Ilhas Falkland
126,Câmara,Anguila
127,Pacheco Câmara Ltda.,Filipinas
128,Pires S.A.,Cuba
129,Peixoto Montenegro - EI,Ilhas Virgens Americanas
130,Sampaio Dias - ME,Emirados Árabes Unidos
131,Martins,Jibuti
132,Vargas,Tajiquistão
133,Nunes,Svalbard e Jan Mayen
134,Montenegro,Serra Leoa
135,Silva,República Dominicana
136,Duarte S/A,México
137,Farias Camargo S/A,Togo
138,Pinto,Andorra
139,Barros Costela S/A,Vietnam
140,da Luz,Salvador
141,Novaes Pimenta Ltda.,Alemanha
142,Castro,Somália
143,Moura,México
144,Nunes,Bulgária
145,da Costa Pereira e Filhos,Congo-Brazzaville
146,Teixeira Ltda.,Maldivas
147,da Rocha,Paraguai
148,Cardoso,Territórios Austrais Franceses
149,Vargas,Egito
150,Freitas,Guam
